,Open,High,Low,Close,Volume
02/01/2012,4640.20,4645.95,4588.05,4636.75,108461000
03/01/2012,4675.80,4773.10,4675.80,4765.30,146621008
04/01/2012,4774.95,4782.85,4728.85,4749.65,165939008
05/01/2012,4749.00,4779.80,4730.15,4749.95,177863008
06/01/2012,4724.15,4794.90,4686.85,4754.10,176057008
09/01/2012,4747.55,4758.70,4695.45,4742.80,147535008
10/01/2012,4771.85,4855.90,4768.25,4849.55,201661008
11/01/2012,4863.15,4877.20,4841.60,4860.95,209080000
12/01/2012,4840.95,4869.20,4803.90,4831.25,183068992
13/01/2012,4861.95,4898.85,4834.20,4866.00,230940992
16/01/2012,4844.00,4880.80,4827.05,4873.90,160480000
17/01/2012,4904.50,4975.55,4904.00,4967.30,223004000
18/01/2012,4977.75,4980.65,4931.05,4955.80,211199008
19/01/2012,4995.00,5023.80,4991.40,5018.40,203488000
20/01/2012,5044.85,5064.15,5004.30,5048.60,221048000
23/01/2012,5025.35,5059.55,5021.35,5046.25,158178000
24/01/2012,5064.80,5141.05,5049.80,5127.35,202007008
25/01/2012,5151.50,5174.15,5130.25,5158.30,219176000
27/01/2012,5216.75,5217.00,5162.40,5204.70,215922992
30/01/2012,5163.55,5166.15,5076.70,5087.30,181140992
31/01/2012,5125.25,5215.40,5120.15,5199.25,215771008
01/02/2012,5198.15,5244.60,5159.00,5235.70,234898992
02/02/2012,5272.10,5289.95,5225.75,5269.90,337960992
03/02/2012,5276.10,5334.85,5255.55,5325.85,217357984
06/02/2012,5379.45,5390.05,5327.25,5361.65,215080000
07/02/2012,5412.95,5413.35,5322.95,5335.15,181194992
08/02/2012,5343.80,5396.90,5325.20,5368.15,236135008
09/02/2012,5343.05,5423.40,5338.90,5412.35,255307008
10/02/2012,5399.80,5427.75,5341.05,5381.60,225352000
13/02/2012,5382.10,5421.05,5351.40,5390.20,181562000
14/02/2012,5380.80,5428.05,5377.95,5416.05,201410000
15/02/2012,5460.60,5542.10,5460.60,5531.95,314366016
16/02/2012,5513.75,5531.40,5483.75,5521.95,270060000
17/02/2012,5574.20,5606.70,5545.20,5564.30,329308000
