,Open,High,Low,Close,Volume
02/01/2012,4640.2,4645.95,4588.05,4636.75,108461000
03/01/2012,4675.8,4773.1,4675.8,4765.3,146621008
04/01/2012,4774.95,4782.85,4728.85,4749.65,165939008
05/01/2012,4749.0,4779.8,4730.15,4749.95,177863008
06/01/2012,4724.15,4794.9,4686.85,4754.1,176057008
09/01/2012,4747.55,4758.7,4695.45,4742.8,147535008
10/01/2012,4771.85,4855.9,4768.25,4849.55,201661008
11/01/2012,4863.15,4877.2,4841.6,4860.95,209080000
12/01/2012,4840.95,4869.2,4803.9,4831.25,183068992
13/01/2012,4861.95,4898.85,4834.2,4866.0,230940992
16/01/2012,4844.0,4880.8,4827.05,4873.9,160480000
17/01/2012,4904.5,4975.55,4904.0,4967.3,223004000
18/01/2012,4977.75,4980.65,4931.05,4955.8,211199008
19/01/2012,4995.0,5023.8,4991.4,5018.4,203488000
20/01/2012,5044.85,5064.15,5004.3,5048.6,221048000
23/01/2012,5025.35,5059.55,5021.35,5046.25,158178000
24/01/2012,5064.8,5141.05,5049.8,5127.35,202007008
25/01/2012,5151.5,5174.15,5130.25,5158.3,219176000
27/01/2012,5216.75,5217.0,5162.4,5204.7,215922992
30/01/2012,5163.55,5166.15,5076.7,5087.3,181140992
31/01/2012,5125.25,5215.4,5120.15,5199.25,215771008
01/02/2012,5198.15,5244.6,5159.0,5235.7,234898992
02/02/2012,5272.1,5289.95,5225.75,5269.9,337960992
03/02/2012,5276.1,5334.85,5255.55,5325.85,217357984
06/02/2012,5379.45,5390.05,5327.25,5361.65,215080000
07/02/2012,5412.95,5413.35,5322.95,5335.15,181194992
08/02/2012,5343.8,5396.9,5325.2,5368.15,236135008
09/02/2012,5343.05,5423.4,5338.9,5412.35,255307008
10/02/2012,5399.8,5427.75,5341.05,5381.6,225352000
13/02/2012,5382.1,5421.05,5351.4,5390.2,181562000
14/02/2012,5380.8,5428.05,5377.95,5416.05,201410000
15/02/2012,5460.6,5542.1,5460.6,5531.95,314366016
16/02/2012,5513.75,5531.4,5483.75,5521.95,270060000
17/02/2012,5574.2,5606.7,5545.2,5564.3,329308000
21/02/2012,5561.9,5621.5,5561.75,5607.15,231132000
22/02/2012,5609.75,5629.95,5491.35,5505.35,263013008
23/02/2012,5490.05,5537.4,5460.8,5483.3,307246976
24/02/2012,5479.15,5521.4,5405.9,5429.3,364661024
27/02/2012,5448.1,5449.8,5268.15,5281.2,235319008
28/02/2012,5310.5,5391.1,5306.45,5375.5,208134000
29/02/2012,5424.95,5458.8,5352.25,5385.2,226022000
01/03/2012,5366.0,5372.45,5297.5,5339.75,196868000
02/03/2012,5369.45,5392.55,5315.05,5359.35,185022000
05/03/2012,5342.55,5344.5,5265.7,5280.35,196420992
06/03/2012,5266.0,5382.05,5206.4,5222.4,290396000
07/03/2012,5207.05,5243.85,5171.45,5220.45,230725984
09/03/2012,5294.1,5342.3,5291.6,5333.55,203006000
12/03/2012,5420.1,5421.9,5327.3,5359.55,176668000
13/03/2012,5391.05,5438.65,5390.8,5429.5,179965008
14/03/2012,5490.55,5499.4,5437.8,5463.9,181714000
15/03/2012,5462.5,5462.5,5362.3,5380.5,160258000
16/03/2012,5380.35,5445.65,5305.0,5317.9,267520992
19/03/2012,5337.35,5340.7,5238.55,5257.05,179877008
20/03/2012,5257.15,5297.35,5233.25,5274.85,181344992
21/03/2012,5267.2,5372.35,5256.0,5364.95,199788000
22/03/2012,5361.1,5385.95,5205.65,5228.45,205580992
23/03/2012,5255.65,5312.0,5220.0,5278.2,172739008
26/03/2012,5274.35,5274.95,5174.9,5184.25,169786000
27/03/2012,5242.95,5277.95,5184.65,5243.15,208775008
28/03/2012,5231.7,5236.55,5169.6,5194.75,145804000
29/03/2012,5145.95,5194.3,5135.95,5178.85,242558000
30/03/2012,5206.6,5307.1,5203.65,5295.55,164790000
02/04/2012,5296.35,5331.55,5278.8,5317.9,134538000
03/04/2012,5353.2,5378.75,5344.45,5358.5,152496000
04/04/2012,5328.65,5338.4,5305.3,5322.9,122106000
09/04/2012,5282.5,5287.9,5228.0,5234.4,111915000
10/04/2012,5254.1,5255.8,5211.85,5243.6,156106992
11/04/2012,5209.45,5263.65,5190.8,5226.85,167014000
12/04/2012,5246.75,5290.6,5246.75,5276.85,152685008
13/04/2012,5255.7,5306.75,5185.4,5207.45,164226000
16/04/2012,5190.6,5233.5,5183.5,5226.2,119730000
17/04/2012,5266.6,5298.2,5208.35,5289.7,178894992
18/04/2012,5320.7,5342.0,5293.45,5300.0,152743008
19/04/2012,5320.6,5342.45,5291.3,5332.4,133550000
20/04/2012,5313.95,5336.15,5245.45,5290.85,135252992
23/04/2012,5277.4,5310.55,5187.15,5200.6,138042000
24/04/2012,5215.9,5232.35,5180.35,5222.65,155675008
25/04/2012,5222.2,5236.1,5160.65,5202.0,142910992
26/04/2012,5214.75,5215.6,5179.05,5189.0,185899008
27/04/2012,5189.0,5223.05,5154.3,5190.6,128759000
30/04/2012,5201.45,5262.15,5201.45,5248.15,108139008
02/05/2012,5254.3,5279.6,5226.45,5239.15,119333000
03/05/2012,5211.2,5217.3,5180.65,5188.4,118574000
04/05/2012,5166.65,5177.2,5070.6,5086.85,153305008
07/05/2012,5017.8,5124.75,4988.0,5114.15,168272000
