DATE,VIX,S&P 500
02-Jan-90,18.19,386.162
03-Jan-90,18.19,385.171
04-Jan-90,19.22,382.018
05-Jan-90,20.11,378.299
08-Jan-90,20.26,380.039
09-Jan-90,22.20,375.564
10-Jan-90,22.44,373.087
11-Jan-90,20.05,374.398
12-Jan-90,24.64,365.223
15-Jan-90,26.34,362.075
16-Jan-90,24.18,366.121
17-Jan-90,24.16,362.536
18-Jan-90,24.34,363.384
19-Jan-90,22.50,364.427
22-Jan-90,26.70,355.040
23-Jan-90,24.72,356.364
24-Jan-90,25.39,348.436
25-Jan-90,25.63,350.515
26-Jan-90,26.28,350.246
29-Jan-90,26.44,349.674
30-Jan-90,27.25,347.375
31-Jan-90,25.36,353.937
01-Feb-90,24.87,353.678
02-Feb-90,24.32,356.025
05-Feb-90,24.54,357.283
06-Feb-90,24.69,355.054
07-Feb-90,24.29,359.530
08-Feb-90,23.77,358.699
09-Feb-90,23.69,359.575
12-Feb-90,24.38,355.889
13-Feb-90,23.76,357.009
14-Feb-90,22.05,358.099
15-Feb-90,19.71,361.230
16-Feb-90,20.78,358.987
20-Feb-90,22.78,353.910
21-Feb-90,23.89,353.567
22-Feb-90,22.54,351.484
23-Feb-90,23.69,349.900
26-Feb-90,23.56,354.875
27-Feb-90,22.69,356.661
28-Feb-90,21.99,358.496
01-Mar-90,21.90,359.457
02-Mar-90,21.34,362.485
05-Mar-90,22.03,360.681
06-Mar-90,20.55,365.242
07-Mar-90,19.10,364.194
08-Mar-90,19.74,367.793
09-Mar-90,20.30,365.420
12-Mar-90,20.07,366.243
13-Mar-90,21.05,363.371
14-Mar-90,19.65,364.318
15-Mar-90,18.81,365.626
16-Mar-90,17.62,369.789
19-Mar-90,18.29,371.558
20-Mar-90,19.06,369.465
21-Mar-90,20.10,367.489
22-Mar-90,22.74,363.110
23-Mar-90,20.46,364.769
26-Mar-90,19.59,365.436
27-Mar-90,21.01,369.640
28-Mar-90,19.77,370.190
29-Mar-90,18.46,368.881
30-Mar-90,19.73,367.995
02-Apr-90,22.84,366.724
03-Apr-90,20.44,372.125
04-Apr-90,22.03,369.533
05-Apr-90,21.21,369.151
06-Apr-90,21.76,368.483
09-Apr-90,22.30,369.888
10-Apr-90,21.69,370.647
11-Apr-90,17.73,370.486
12-Apr-90,19.80,373.142
16-Apr-90,20.75,373.611
17-Apr-90,20.38,373.553
18-Apr-90,22.67,369.275
19-Apr-90,22.46,366.431
20-Apr-90,23.33,363.223
23-Apr-90,24.16,358.853
24-Apr-90,21.70,358.130
